Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Aetherpassage,<:EmpyreanFlag:799976612216176661> Empyrean,,,,,,,"After a player activates a system, you may allow that player to move their ships through system that contain your ships.",,,
Amalgamation,<:KebabFlag:799976538744291339> Vuil'raith Cabal,,,,,,,"When you produce a unit, you may return 1 captured unit of that type to produce that unit without spending resources.",,,
Ambush,<:MentakFlag:799977177000574986> Mentak Coalition,,,,,,,"At the start of a space combat, you may roll 1 die for each of up to 2 of your cruisers or destroyers in the system. For each result equal to or greater than that ship's combat value produce 1 hit; your opponent must assign it to 1 of their ships.",,,
Analytical,<:JolNarFlag:799976866643050506> Universities of Jol-Nar,,,,,,,"When you research a technology that is not a unit upgrade technology, you may ignore 1 prerequisite.",,,
Arbiters,<:HacanFlag:799976797784768513> Emirates of Hacan,,,,,,,"When you are negotiating a transaction, action cards can be exchanged as part of that transaction.",,,
Armada,<:LetnevFlag:799976459325407243> Barony of Letnev,,,,,,,The maximum number of non-fighter ships you can have in each system is equal to 2 more than the number of tokens in your fleet pool.,,,
Assimilate,<:L1Z1XFL4G:799976965813698600> L1Z1X Mindnet,,,,,,,"When you gain control of a planet, replace each PDS and space dock that is on that planet with a matching unit from your reinforcements.",,,
Awaken,<:UlFlag:799977899624235008> Titans of Ul,,,,,,,"After you activate a system that contains 1 or more of your sleeper tokens, you may replace each of those tokens with 1 PDS from your reinforcements.",,,
Blood Ties,<:WinnuFlag:799978013756358707> Winnu,,,,,,,You do not have to spend influence to remove the custodians token from Mecatol Rex.,,,
Brilliant,<:JolNarFlag:799976866643050506> Universities of Jol-Nar,,,,,,,"When you spend a command token to resolve the secondary ability of the ""Technology"" strategy card, you may resolve the primary ability instead.",,,
Coalescence,<:UlFlag:799977899624235008> Titans of Ul,,,,,,,"If your flagship or your Awaken faction ability places units into the same space area or onto the same planet as another player's units, your units must participate in combat during the ""Space Combat"" or ""Ground Combat"" steps.",,,
Council Patronage,<:keleres:968307229092642846> Keleres,,,,,,,"Replenish your commodities at the start of the strategy phase, then gain 1 trade good.",,,
Crafty,<:YssarilFlag:799978263409459200> Yssaril Tribes,,,,,,,You can have any number of action cards in your hand. Game effects cannot prevent you from using this ability.,,,
Creuss Gate,<:Ghostleader:799976713135063080> Ghosts of Creuss,,,,,,,"When you create the game board, place the Creuss Gate (tile 17) where your home system would normally be placed. The Creuss Gate system is not a home system. Then place your home system (tile 51) in your play area.",,,
Dark Whispers,<:EmpyreanFlag:799976612216176661> Empyrean,,,,,,,"During setup, take the additional Empyrean faction promissory note; you have 2 faction promissory notes.",,,
Devotion,<:YinFlag:799978188410322967> Yin Brotherhood,,,,,,,"After each space battle round, you may destroy 1 of your cruisers or destroyers in the active system to produce 1 hit and assign it to 1 of your opponent's ships in that system.",,,
Devour,<:KebabFlag:799976538744291339> Vuil'raith Cabal,,,,,,,Capture your opponent's non-structure units that are destroyed during combat.,,,
Distant Suns,<:NaazRokhaNRAFlag:799977386720231434> Naaz-Rokha Alliance,,,,,,,"When you explore a planet that contains 1 of your mechs, you may draw 1 additional card; choose 1 to resolve and discard the rest.",,,
Edict,<:MahactFlag:799977081857507338> Mahact Gene-Sorcerers,,,,,,,"When you win a combat, place 1 command token from your opponent's reinforcements in your fleet pool if it does not already contain 1 of that player's tokens; other players' tokens in your fleet pool increase your fleet limit but cannot be redistributed.",,,
Fabrication,<:NaazRokhaNRAFlag:799977386720231434> Naaz-Rokha Alliance,,,,,,,Action: Either purge 2 of your relic fragments of the same type to gain 1 relic or purge 1 of your relic fragments to gain 1 command token.,,,
Foresight,<:NaaluFlag:799977317937446953> Naalu Collective,,,,,,,"After another player moves ships into a system that contains one or more of your ships, you may place 1 token from your strategy pool in an adjacent system that does not contain another player's ships; move your ships from the active system into that system.",,,
Fragile,<:JolNarFlag:799976866643050506> Universities of Jol-Nar,,,,,,,Apply -1 to the result of each of your unit's combat rolls.,,,
Future Sight,<:NomadFlag:799977591380901888> Nomad,,,,,,,"During the agenda phase, after an outcome you voted for or predicted is resolved, gain 1 trade good.",,,
Galactic Threat,<:NekroFlag:799977517473464340> Nekro Virus,,,,,,,"You cannot vote on agendas. Once per agenda phase, after an agenda is revealed, you may predict aloud the outcome of that agenda. If your prediction is correct, gain 1 technology that is owned by a player who voted how you predicted.",,,
Gashlai Physiology,<:MuaatFlag:799977247501975619> Embers of Muaat,,,,,,,Your ships can move through supernovas.,,,
Guild Ships,<:HacanFlag:799976797784768513> Emirates of Hacan,,,,,,,You can negotiate transactions with players who are not your neighbor.,,,
Harrow,<:L1Z1XFL4G:799976965813698600> L1Z1X Mindnet,,,,,,,"At the end of each round of ground combat, your ships in the active system may use their Bombardment abilities against your opponent's ground forces on the planet.",,,
Hubris,<:MahactFlag:799977081857507338> Mahact Gene-Sorcerers,,,,,,,"During setup, purge your ""Alliance"" promissory note. Other players cannot give you their ""Alliance"" promissory notes.",,,
