Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Ancient Burial Sites,At the start of the agenda phase,,,,,1,Twilight Imperium 4,Choose 1 player. Exhaust each cultural planet owned by that player.,The images depicted a race that Rin had never seen before. Curious. Could it be that this was a race that was exterminated by the Lazax?,,abs
Archaeological Expedition,Action,,,,,1,Prophecy of Kings,Reveal the top 3 cards of an exploration deck that matches a planet you control; gain any relic fragments that you reveal and discard the rest.,"Hiari pressed the activation flyphs, and the ancient door hissed open. As she stepped into the pitch-black interior of the Mahact tomb, she felt a shiver of anticipation. Perhaps, finally, she would find the Codex.",,
Assassinate Representative,After an agenda is revealed,,,,,1,Twilight Imperium 4,Choose 1 player. That player cannot vote on this agenda.,"With a sickening crunch of bone and metal, unit.desgn.FLAYESH extracted its stinger from the blood-drenched skull of the Jol-Nar councilor.",,
Blitz,At the start of an invasion,,,,,1,Codex 1: Ordinian,Each of your non-fighter ships in the active system that do not have Bombardment gain Bombardment 6 until the end of the invasion.,"""T-these weren't meant to be used like this. T-this is a t-terrible idea."" Tai mumbled, wringing his hands. ""Well 'course it is,"" Dart grinned, slamming his fist down on the release lock. ""But we've got about sixty kilotons of 'surprise' and nothing to lose!""",,
Bribery,After the speaker votes on an agenda,,,,,1,Twilight Imperium 4,"Spend any number of trade goods. For each trade good spent, cast 1 additional vote for the outcome on which you voted.","""We think that this initiative would spell disaster for the galaxy, not just the Creuss."" Taivra said, quietly slipping Z'eu an envelope. ""Don't you agree?""",Errata in LRR 1.2,
Bunker,At the start of an invasion,,,,,1,Twilight Imperium 4,"During this invasion, apply -4 to the result of each Bombardment roll against planets you control.","""Elder Junn crossed his arms and steadied his breathing. The bombs could not reach them, not this far down. At least, that is what the soldiers had told him.""",,
Confounding Legal Text,When another player is elected as the outcome of an agenda,,,,,1,Prophecy of Kings,You are the elected player instead.,"""Unfortunately,"" Cinnabian said in a level voice, ""the Galactic Council requires the dispute be arbitrated by a truly neutral party. As the Titans were still slumbering when your war began, we will oversee your negotiations... instead of your friends on Jord.""",,
Confusing Legal Text,When you are elected as the outcome of an agenda,,,,,1,Twilight Imperium 4,Choose 1 player. That player is the elected player instead.,"""Somehow, even after the Council had adjourned, none of them any closer to understanding the strange and confusing events of the day.""",,
Construction Rider,After an agenda is revealed,,,,,1,Twilight Imperium 4,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, place 1 space dock from your reinforcements on a planet you control.","""The vote was nearly unanimous. The Council would provide funding for the restoration. Ciel was furious.""",,
Counterstroke,After a player activates a system that contains 1 of your command tokens,,,,,1,Codex 1: Ordinian,Return that command token to your tactic pool.,"""That's the thing about loyalty - "" Viktor mused, turning one of the pieces backward, facing its own side. ""It can be bought.""",,
Coup D'etat,When another player would perform a strategic action:,,,,,1,Prophecy of Kings,End that player's turn; the strategic action is not resolved and the strategy card is not exhausted.,"Artuno shoved the slug pistol into Huro's face as armored mercenaries stormed into the office. ""I'm afraid the station's undergoing a change in management.""",,coup detat
Courageous to the End,After 1 of your ships is destroyed during a space combat,,,,,1,Twilight Imperium 4,"Roll 2 dice. For each result equal to or greater than that ship's combat value, your opponent must choose and destroy 1 of their ships.","""Coughing up blood and covered in burns, Havvat collapsed against the rapidly overheating ship core. She smiled. She would be remembered.""",,ctte
Cripple Defenses,Action,,,,,1,Twilight Imperium 4,Choose 1 planet. Destroy each PDS on that planet.,"""Titanic vines burst forth from the ground, wrapping themselves around the system's primary firing cylinder, breaking it free from its moorings, and bringing it crashing down upon the installation below.""",,
Deadly Plot,During the agenda phase when an outcome would be resolved,,,,,1,Prophecy of Kings,"If you voted for or predicted another outcome, discard the agenda instead; the agenda is resolved with no effect and it is not replaced.
Then, exhaust all of your planets.","The hooded envoy erupted into a nightmare of black metal, lunging at the shocked diplomats.",,
Decoy Operation,After another player activates a system that contains 1 or more of your structures,,,,,1,Prophecy of Kings,Remove up to 2 of your ground forces from the game board and place them on a planet you control in the active system.,Enemy fire lashed the abandoned positions on the ridgeline as Trilossa's flock slipped unseen around their flanks.,,
Diplomacy Rider,After an agenda is revealed,,,,,1,Twilight Imperium 4,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, choose 1 system that contains a planet you control. Each other player places a command token from their reinforcements in that system.","""Ciel evaluated the other senators. Weak, all of them. This was his game to win.""",,diplo rider
Diplomatic Pressure,When an agenda is revealed,,,,,4,Prophecy of Kings,Choose another player; that player must give you 1 promissory note from their hand.,"1. The Arborec emissary leaned close, and Brother Milor flinched at the faint whiff of decay. ""You do not understand,"" Dirzuga Ohao rasped. ""You must support this measure.""|2. Brother Milor shook his head. ""The Brotherhood can not support your war against this extra-dimensional threat."" Dirzuga Ohao raised an eyebrow. ""Are you certain?""|3.""It would be unfortunate,"" the Arborec Dirzuga said, ""if your supplies of diraxium were to dry up. How would your fleet defend you if we stopped supplying its fuel?""|4.""Damn you!"" Brother Milor hissed. ""You leave us no choice but to fight in your war."" Dirzuga Ohao smiled, dead skin stretching over her teeth.",,
Direct Hit,After another player's ship uses Sustain Damage to cancel a hit produced by your units or abilities,,,,,4,Twilight Imperium 4,Destroy that ship.,"1. There it was! An opening! Neekuaq gestured wildly, a rare display for one normally quite reserved. ""Fire the main battery!""|2. The Loncara Ssodu's main battery flared to life, firing a volley directly into the flickering starboard shields of the Letnev dreadnought.|3. For a moment, it looked as if the dreadnought's shields would hold, but a moment later the ship began to come apart where the attack had pierced its hull.|4. Neekuaq watched, satisfied, as the ship was wracked by a series of explosions from within, huge armored plates and other debris hurtling off into the darkness.'",Errata in LRR 1.2,dh
