Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Anti-Intellectual Revolution,Law,,,,,,Twilight Imperium 4,"**For:** After a player researches a technology, that player must destroy 1 of their non-fighter ships.|**Against:** At the start of the next strategy phase, each player chooses and exhausts 1 planet for each technology that they own.",,,anti intellectual revolution
Archived Secret,Directive,,,,,,Twilight Imperium 4,**Elect Player**|The elected player draws 1 secret objective.,,,
Armed Forces Standardization,Directive,,,,,,Prophecy of Kings,"**Elect Player**|The elected player place command tokens from their reinforcements so that they have 3 tokens in their tactic pool, 3 tokens in their fleet pool, and 2 tokens in their strategy pool. They return any excess tokens to their reinforcements.",,,
Arms Reduction,Directive,,,,,,Twilight Imperium 4,"**For:** Each player destroys all but 2 of their dreadnoughts and all but 4 of their cruisers.|**Against:** At the start of the next strategy phase, each player exhausts each of their planets that have a technology specialty.",,,
Articles of War,Law,,,,,,Prophecy of Kings,"**For:** All mechs lose their printed abilities except for Sustain Damage.|**Against:** Each player that voted ""For"" gains 3 trade goods.",,,
Checks and Balances,Law,,,,,,Prophecy of Kings,"**For:** When a player chooses a strategy card during the strategy phase, they give that strategy card to another player who does not have 1 (or a player who does not have 2 is a three- or four-player game), if able.|**Against:** Each player readies only 3 of their planets at the end of this agenda phase.",,,
Clandestine Operations,Directive,,,,,,Prophecy of Kings,**For:** Each player removes 2 command tokens from their command sheet and return those tokens to their reinforcements.|**Against: Each player removes 1 command token from their fleet pool and returns that token to their reinforcements.,,,
Classified Document Leaks,Law,,,,,,Twilight Imperium 4,"When this agenda is revealed, if there are no scored secret objectives, discard this card and reveal another agenda from the top of the deck.|**Elect Scored Secret Objective**|The elected secret objective becomes a public objective; place it near the other public objectives in the common play area.",,,cdl
Colonial Redistribution,Directive,,,,,,Twilight Imperium 4,"**Elect Non-Home Planet Other Than Mecatol Rex**|Destroy each unit on the elected planet. Then, the player who controls that planet chooses 1 player with the fewest victory points; that player may place 1 infantry from their reinforcements on the elected planet.",,,
Committee Formation,Law,,,,,,Twilight Imperium 4,"**Elect Player**|The elected player gains this card.|Before players vote on an agenda that requires a player to be elected, the owner of this card may discard this card to choose a player to be elected. Players do not vote on that agenda.",,,
Compensated Disarmament,Directive,,,,,,Twilight Imperium 4,"**Elect Planet**|Destroy each ground force on the elected planet; for each unit that was destroyed, the player who controls that planet gains 1 trade good.",,,
Conventions of War,Law,,,,,,Twilight Imperium 4,"**For:** Players cannot use BOMBARDMENT against units that are on cultural planets.|**Against:** Each player that voted ""Against"" discards all of their action cards.",,,
Core Mining,Law,,,,,,Twilight Imperium 4,"**Elected Hazardous Planet**|Attach this card to the elected planet's card. Then, destroy 1 infantry on that planet.|The resource value of this planet is increased by 2.",,Removed when playing with PoK,
Covert Legislation,Directive,,,,,,Prophecy of Kings,"When this agenda is revealed, the speaker draws the next card in the agenda deck but does not reveal it to the other players. Instead, the speaker reads the eligible outcomes aloud (for, against, elect player, etc.); the other players vote for these outcomes as if they were outcomes of this agenda, without knowing their effects.",,"The speaker votes, but knows the effects. If Covert Legislation is veto'd or similar, the agenda the speaker drew is discarded as well.",
Demilitarized Zone,Law,,,,,,Twilight Imperium 4,"**Elect Cultural Planet**|Attach this card to the elected planet's card. Then, destroy all units on that planet.|Player's units cannot land, be produced, or be placed on this planet.",,Removed when playing with PoK,dmz
Economic Equality,Directive,,,,,,Twilight Imperium 4,"**For:** Each player returns all of their trade goods to the supply. Then, each player gains 5 trade goods.|**Against:** Each player returns all of their trade goods to the supply.",,,ee
Enforced Travel Ban,Law,,,,,,Twilight Imperium 4,**For:** Alpha and beta wormholes have no effect during movement.|**Against:** Destroy each PDS in or adjacent to each system that contains a wormhole.,,,etb
Executive Sanctions,Law,,,,,,Twilight Imperium 4,**For:** Each player can have a maximum of 3 action cards in their hand.|**Against:** Each player discards 1 random action card from their hand.,,,
Fleet Regulations,Law,,,,,,Twilight Imperium 4,**For:** Each player cannot have more than 4 tokens in their fleet pool.|**Against:** Each player places 1 command token from their reinforcements in their fleet pool.,,,
Galactic Crisis Pact,Directive,,,,,,Prophecy of Kings,**Elect Strategy Card**| Each player may perform the secondary ability of the elected strategy card without spending a command token; command tokens placed by the ability are placed from a player's reinforcements instead.,,This is a directive; players immediately perform the secondary of the elected strategy card.,
Holy Planet of Ixth,Law,,,,,,Twilight Imperium 4,"**Elect Cultural Planet**|Attach this card to the elected planet's card. The planet's owner gains 1 victory point.|Units on this planet cannot use PRODUCTION.|When a player gains control of this planet, they gain 1 victory point. When a player loses control of this planet, they lose 1 victory point.",,Removed when playing with PoK,
Homeland Defense Act,Law,,,,,,Twilight Imperium 4,**For:** Each player can have any number of PDS units on planets they control.|**Against:** Each player destroys 1 of their PDS units.,,,
Imperial Arbiter,Law,,,,,,Twilight Imperium 4,"**Elect Player**|The elected player gains this card.|At the end of the strategy phase, the owner of this card may discard this card to swap 1 of their strategy cards with 1 of another player's strategy cards.",,,
