Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
<:Event:1393361751260528691>Advent of the War Sun,Complexity,:green_square:,,,,,Thunder's Edge,"At the end of setup, all players other than the Embers of Muaat player gain the War Sun unit upgrade technology.|The Embers of Muaat player purges their faction-specific promissory note, unlocks their commander, and places 1 additional War Sun in their home system.","The looming monstrosity looked more like an island than it did a weapon. Still, if the reports were to be believed, this...thing...was capable of incredible destruction on a scale possibly surpassing that of the Gashlai's own weapon. Magmus flared up in frustration. How had the Humans managed to build something so massive undetected? Someone was to blame for this, and he meant to find out who.",,
<:Event:1393361751260528691>Age of Commerce,Complexity,:green_square:,,,,,Thunder's Edge,"Players do not have to be neighbors to perform transactions with each other.|Players do not have a maximum number of commodities; when they refresh commodities, they gain a number of commodities equal to their commodity value instead.|Players can share non-faction technology with other players as part of a transaction. When sharing technology, the receiving player gains that technology from their own deck; the sharing player does not lose the technology.","Ashalla and Carth arrived at Tsion Station to no great fanfare. No welcome party awaited their arrival, no feast held in their honor. But the coffers of the Emirates opened every locked door and greased every palm. The network would grow. And grow. And grow.",,"trade, commodities"
<:Event:1393361751260528691>Age of Exploration,Complexity,:yellow_square: :yellow_square: ,,,,,Thunder's Edge,"Relics require only 2 matching fragments be purged instead of 3.|The Naaz-Rokha Alliance's _Fabrication_ faction ability and _Black Market Forgery_ promissory note do not require purged fragments to match.|All players can perform the following action:|**Action:** Exhaust Dark Energy Tap and choose a non-home edge system that contains your ships to roll 1 die. On a result of 1-4, draw a random unused red tile, on a result of 5-10, draw a random unused blue tile. Place that tile adjacent to the chosen system so that it is touching at least 2 non-home systems. Place a frontier token in the system if it does not contain any planets.","""Almost got it. Just a little higher...""",,"explore, det"
<:Event:1393361751260528691>Age of Fighters,Complexity,:red_square: :red_square: :red_square: ,,,,,Thunder's Edge,"During setup, all players gain the Fighter II unit upgrade technology; the Naalu Collective player gains Hybrid Crystal Fighter II technology instead.|Fighters that count against your fleet pool have _Capacity_ value of 1; fighters cannot transport other fighters.|Non-fighter ships are purged when they are destroyed.","The two fighters shot past the flagging cruiser, reflective hulls blazing a crisp blue, a mirror of the icy halo that served as the duel's stage. Neck and neck, dipping and diving amongst the rings. They were enemies. Lovers. Killers. Creators. Their connection was beyond definition. It transcended the grit and desperation of war and attained something divine.",,
<:Event:1393361751260528691>Call of the Void,Complexity,:green_square:,,,,,Thunder's Edge,"After you move 1 or more units into the active system, if that system is in The Fracture, gain 1 command token.|When you activate a system in The Fracture, apply +1 the the move values of each of your ships.","This place...it is a graveyard. I can't see it, but I can feel it. Souls all around me, yelling, screaming at me to leave. But I can't leave. Not yet. Maybe not ever. There is something here, I know it. I can find what happened here, I can.\n- Last log of Kel Zin, explorer",,
<:Event:1393361751260528691>Civilized Society,Complexity,:yellow_square: :yellow_square: ,,,,,Thunder's Edge,"During setup, turn all public objectives faceup.|There is no limit to the number of public objectives a player may score during the status phase.|The game does not immediately end when a player reaches the required number of victory points; instead, it ends at the end of that round's status phase, and the player with the most victory points wins. In the case of a tie, the tied players total the influence values of their controlled planets and unspent trade goods; the player or players with the highest total win the game.","Connor stiffened. For once in his life, he felt ill at ease. This was all too fancy. He coughed, straightened his bowtie, and tugged at his collar. Why was it so damn hard to breathe? How the hell had he let Suffi talk him into this…",,
<:Event:1393361751260528691>Conventions of War Abandoned,Complexity,:red_square: :red_square: :red_square: ,,,,,Thunder's Edge,Each hit produced by _Bombardment_ rolls destroys 3 units instead of 1.|Players that have the _X-89 Bacterial Weapon_ technology can perform the following action:|**Action:** Exhaust _X-89 Bacterial Weapon_ to choose 1 planet in a system that contains 1 of your units that has _Bombardment_; purge its planet card and all attachments or legendary planet ability cards associated with it.|You are eliminated if all of your home system's planet cards are purged.,"Stillness. Not rage, not violence. Complete and utter silence. Stillness is the sound of slaughter. A horror that the galaxy has wrought with its own hands. With hellfire and flashing steel there can still be hope, but with stillness - with stillness there is nothing.",,
<:Event:1393361751260528691>Cosmic Phenomenae,Complexity,:yellow_square: :yellow_square: ,,,,,Thunder's Edge,"Anomalies are adjusted as follows:|**Nebulae:** The defender applies +3 to each of their ship's combat rolls in the nebula instead.|**Asteroid Fields:** Fighters without a move value do not participate in space combat in asteroid fields.|**Supernovas:** Units with _Production_ in or adjacent to supernovas have their _Production_ values increased by 1.|**Gravity Rifts:** You may apply an additional +1 to the _Move_ values of any of your ships moving out of gravity rifts; if you do, those ships are removed on a roll of 5 or lower.|**Entropic Scar:** Systems that contain entropic scars are adjacent to each other.","Acamar unfolded their wings, bathing them in the light of the dying star. Perfection. Bliss.",,
<:Event:1393361751260528691>Cultural Exchange Program,Complexity,:yellow_square: :yellow_square: ,,,,,Thunder's Edge,"At the end of setup, shuffle the reference cards that correspond to each faction in play. Each player draws 1 of those card and takes all leaders that correspond to that faction. They belong to that player for the remainder of the game. Then, each player unlocks their commander.|The Obsidian/Firmament player does not participate in the Cultural Exchange Program. Instead, they begin the game with ""The Obsidian"" relic.","Its origins rooted in the Salient Sun, Last Bastion represented a fusion of both Human and Xxcha sensibilities.",,
<:Event:1393361751260528691>Dangerous Wilds,Complexity,:green_square:,,,,,Thunder's Edge,"During setup, place neutral infantry on each hazardous planet equal to that planet's resource value.|At the end of the round, for each hazardous planet that is not controlled, replenish any neutral infantry that were destroyed during the game round.|When a player gains control of a hazardous planet from the planet deck, they may research 1 technology; they may ignore a number of that technology's prerequisites equal to the planet's resource value.","A thundering crash signaled the arrival of the behemoth - two in fact - and the huntress gripped her rifle tight. No room for error now. She hoped the others had heard the commotion and were headed her way, but deep down she knew. She was on her own.",,
