Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Letani Ospha,<:ArborecFlag:799976271564111933> Arborec,Agent,,,Unity Through Peace,,Prophecy of Kings,Action: Exhaust this card and choose a player's non-fighter ship; that player may replace that ship with one from their reinforcements that costs up to 2 more than the replaced ship.,"""I am Arborec. Even the smallest spore may grow into a towering structure or a mighty vessel of the stars. I wish my spores to grow strong and tall and wide, and so I send forth my Letani. Through them, I unleash the full potential of myself.""",,arborec agent
Dirzuga Rophal,<:ArborecFlag:799976271564111933> Arborec,Commander,,,Peace Through Strength,,Prophecy of Kings,*Unlock: Have 12 ground forces on planets you control.*||**After another player activates a system that contains 1 or more of your units that have Production:**|You may produce 1 unit in that system.,"""As I grow, I must expand. I send forth my Dirzuga into the galaxy, so that I may touch many lives.""",,arborec commander
Letani Miasmiala,<:ArborecFlag:799976271564111933> Arborec,Hero,,,Strength Through Unity,,Prophecy of Kings,"*Unlock: Have 3 scored objectives.*||__**Ultrasonic Emitter**__|***Overgrowth***|Action: Produce any number of units in any number of systems that contain 1 or more of your ground forces.|Then, purge this card.""","""Wherever I live, I may put down roots. Wherever I put down roots, I will endure until the last star dies.""",,"arborec hero, ultrasonic emitter, overgrowth"
Trilossa Aun Mirik,<:ArgentFlag:799976364152193044> Argent Flight,Agent,,,Scorn of Ylir,,Prophecy of Kings,**When a player produces ground forces in a system:**|You may exhaust this card; that player may place those units on any planets they control in that system and any adjacent systems.,"The forces of the Argent Flight muster in small flocks, rather than huge armies. To defeat larger foes, Mirik's foremost student Trilossa has mastered the art of concentrating her warriors to launch devastating precision assaults. Now she leads the vanguard of the Argent Flight in righteous war.",,argent agent
Trrakan Aun Zulok,<:ArgentFlag:799976364152193044> Argent Flight,Commander,,,Strike Wing Commander,,Prophecy of Kings,"*Unlock: Have 6 units that have Anti-Fighter Barrage, Space Cannon, or Bombardment on the game board.*||**When 1 or more of your units make a roll for a unit ability:**|You may choose 1 of those units to roll 1 additional die.","""Nobody can fly like the Shikrai, and no Shikrai can fly like Trrakan.""",,argent commander
Mirik Aun Sissiri,<:ArgentFlag:799976364152193044> Argent Flight,Hero,,,Flightmaster,,Prophecy of Kings,"*Unlock: Have 3 scored objectives.*||__**Helix Protocol**__|***Flock Migration***|Action: Move any number of your ships from any systems to any number of other systems that contain 1 of your command tokens and no other players' ships.|Then, purge this card.""","""You understand the power of the swift blow, Trilossa. But only when you can direct all of our flocks to dance amongst the stars in perfect harmony will you surpass me.""",,"argent hero, helix protocol, flock migration"
Viscount Unlenn,<:LetnevFlag:799976459325407243> Barony of Letnev,Agent,,,The Dunlain Scourge,,Prophecy of Kings,**At the start of a space combat round:**|You may exhaust this card to choose 1 ship in the active system; that ship rolls 1 additional die during this combat round.,"""The Alliance carrier has struck her colors,"" the master gunner reported. ""Shall we switch fire to their destroyers?"" Unlenn smiled cruelly and leaned over his warship's command pulpit. ""No. Bring all guns to bear on that carrier. I want it dead.""",,"barony agent, letnev agent"
Rear Admiral Farran,<:LetnevFlag:799976459325407243> Barony of Letnev,Commander,,,Sector XVIII Viceroy,,Prophecy of Kings,*Unlock: Have 5 non-fighter ships in 1 system.*||**After 1 of your units uses Sustain Damage:**|You may gain 1 trade good.,"""The sight of a fleet of our warships, line abreast and guns out, states our demands more clearly than a thousand diplomats.""",,barony commander
Darktalon Treilla,<:LetnevFlag:799976459325407243> Barony of Letnev,Hero,,,Void Revenant,,Prophecy of Kings,"Unlock: Have 3 scored objectives.||__**Dark Matter Affinity**__|***Void Transference***|Action: Place this card near the game board; the number of non-fighter ships you can have in systems is not limited by laws or by the number of command tokens in your fleet pool during this game round.|At the end of that game round, purge this card.","""The void is not simply nothingness. The Empyrean have known this for millennia. Is it any wonder that the greatest Letnev minds have discovered this too?""",,"barony hero, dark matter affinity, void transference"
Captain Mendosa,<:SaarFlag:799977657303302154> Clan of Saar,Agent,,,Captain of the Fifth Fleet,,Prophecy of Kings,**After a player activates a system:**|You may exhaust this card to increase the move value of 1 of that player's ships to match the move value of the ship on the game board that has the highest move value.,"Even after settling in the Jorun Asteroid Field, the Saar tend to see their ships as a beloved home, and devote time and effort to improving them and personalizing them. For example, Captain Mendosa of the Fifth Fleet ensures his ships have the best engines the Saar can build.",,saar agent
