Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Corner the Market,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Control 4 planets that each have the same planet trait.,,,4 same trait
Develop Weaponry,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Own 2 unit upgrade technologies.,,,2 unit upgrades
Diversify Research,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Own 2 technologies in each of 2 colors.,,,2 in 2
Erect a Monument,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Spend 8 resources.,,,"8 resources, 8 r, 8r"
Expand Borders,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Control 6 planets in non-home systems.,,,"6 non-home, 6 non home"
Found Research Outposts,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Control 3 planets that have technology specialties.,,,"3 tech specs, 3 tech specialties"
Intimidate Council,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Have 1 or more ships in 2 systems that are adjacent to Mecatol Rex's system.,,,2 adj to rex
Lead From the Front,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Spend a total of 3 tokens from your tactic and/or strategy pools.,,,3 tokens
Negotiate Trade Routes,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Spend 5 trade goods.,,,"5 tgs, 5tg, 5 tg, 5tgs"
Sway the Council,<:Stage1:898752741134974997> Stage 1,Status,,,,,Twilight Imperium 4,Spend 8 influence.,,,"8 influence, 8 inf, 8i"
Amass Wealth,<:Stage1:898752741134974997> Stage 1,Status,,,,,Prophecy of Kings,"Spend 3 influence, 3 resources, and 3 trade goods.",,,3/3/3
Build Defenses,<:Stage1:898752741134974997> Stage 1,Status,,,,,Prophecy of Kings,Have 4 or more structures.,,,4 structures
Discover Lost Outposts,<:Stage1:898752741134974997> Stage 1,Status,,,,,Prophecy of Kings,Control 2 planets that have attachments.,,,2 attachments
Engineer a Marvel,<:Stage1:898752741134974997> Stage 1,Status,,,,,Prophecy of Kings,Have your flagship or a war sun on the board.,,,"flagship, war sun"
