Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Jord,<:SolFlag:799977825205616661> Federation of Sol,,<:R4:864278977355186176> <:I2:864278934249406474>,,,1,Twilight Imperium 4,,"Distinctly seasonal, with the greatest variety of climates and ecologies in the galaxy. The Federation of Sol rules the Jord humans from the great city of New Moscow.",,
Moll Primus,<:MentakFlag:799977177000574986> Mentak Coalition,,<:R4:864278977355186176> <:I1:864278934195798046>,,,2,Twilight Imperium 4,,"In places lush and rich, in other a barren wasteland. This old Lazax penal colony has prospered under the rule of the governing Mentak Coalition.",,
Darien,<:YinFlag:799978188410322967> Yin Brotherhood,,<:R4:864278977355186176> <:I4:864278934501195836>,,,3,Twilight Imperium 4,,"Darien is the heart of the Brotherhood's realm. Here, within the great Monastery of Lucas, rests the Yin, the holy egg from which all the Brotherhood were made.",,
Muaat,<:MuaatFlag:799977247501975619> Embers of Muaat,,<:R4:864278977355186176> <:I1:864278934195798046>,,,4,Twilight Imperium 4,,"The fiery surface of Muaat is inhabitable to most races. It is home to the Gashlai, and only here can they live outside of their cumbersome ember suits.",,
Nestphar,<:ArborecFlag:799976271564111933> Arborec,,<:R3:864278977321631754> <:I2:864278934249406474>,,,5,Twilight Imperium 4,,The fungal world of Nestphar is home to the symbiotic Arborec. Nestphar's orbit is filled with Flaah spores that extend its Symphony.,,
[0.0.0],<:L1Z1XFL4G:799976965813698600> L1Z1X,,<:R5:864278977468170290> <:I0:864278934032351282>,,,6,Twilight Imperium 4,,"This elusive energy-rich planet was the desperate destination of the secret Lazax diaspora. Now, it is a technological nightmare.",,"null, 0.0.0"
Winnu,<:WinnuFlag:799978013756358707> Winnu,,<:R3:864278977321631754> <:I4:864278934501195836>,,,7,Twilight Imperium 4,,The shining cities of the Winnu are the last places where authentic Lazax art and culture are still revered.,,
Mordai II,<:NekroFlag:799977517473464340> Nekro Virus,,<:R4:864278977355186176> <:I0:864278934032351282>,,,8,Twilight Imperium 4,,"Mined to its bones by the virulent Nekro, Mordai II is reinforced by the graviton energy beams that barely keep the world from collapsing in on itself.",,
Druaa,<:NaaluFlag:799977317937446953> Naalu Collective,,<:R3:864278977321631754> <:I1:864278934195798046>,,,9,Twilight Imperium 4,,"Despite its oversized poles, one of the most beautiful of planets. Its flowered steppes, violet mountains, and glowing forests are famous across the galaxy.",,
Maaluuk,<:NaaluFlag:799977317937446953> Naalu Collective,,<:R0:864278976553156640> <:I2:864278934249406474>,,,9,Twilight Imperium 4,,"Mostly pungent marshland and mudplains. Original world of the Naalu race, which now enslaves the winged Miashan to work its great iron-extraction plants.",,
Arc Prime,<:LetnevFlag:799976459325407243> Barony of Letnev,,<:R4:864278977355186176> <:I0:864278934032351282>,,,10,Twilight Imperium 4,,"Below the thin surface atmosphere lie the continent-sized caverns of the Letnev. Rich in metals and energy, its vast fungus fields struggle to feed its population.",,
Wren Terra,<:LetnevFlag:799976459325407243> Barony of Letnev,,<:R2:864278977133019157> <:I1:864278934195798046>,,,10,Twilight Imperium 4,,"Arid, windy, and populated primarily by predatory Daartar hounds. The Barony utilizes large swaths of its northern steppes for low-yield agriculture.",,
Lisis II,<:SaarFlag:799977657303302154> Clan of Saar,,<:R1:864278976524189727> <:I0:864278934032351282>,,,11,Twilight Imperium 4,,The crystal caverns of Lisis II are the source of most of the Jorun colonists' water and foodstuffs. Notable for the great crescent-shaped valley of Gavar.,,
Ragh,<:SaarFlag:799977657303302154> Clan of Saar,,<:R2:864278977133019157> <:I1:864278934195798046>,,,11,Twilight Imperium 4,,"The capital colony of the Saar and the epicenter of the Saar religion. Also called ""Ragh's Call"" by the Saar.",,
