Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
<:Relic:859234169862225921> Book of Latvinia,,,,,,,Thunder's Edge,"When you gain this card, research up to 2 technologies that have no prerequisites.|**Action:** Purge this card; if you control planets that have all 4 types of technology specialties, gain 1 victory point. Otherwise, gain the speaker token.","A collector's item of incalculable value, none have been able to unlock its secrets - assuming its contents aren't just the ravings of a madwoman.",,latvia
<:Relic:859234169862225921> Circlet of the Void,,,,,,,Thunder's Edge,"Your units do not roll for gravity rifts, and you ignore the movement effects of other anomalies.|**Action:** Exhaust this card to explore a frontier token in a system that does not contain any other players' ships.","Xuange touched the jeweled circlet that sat upon their temple. The pride of the Archive. Knowledge of the stars, passed down from the First, fated for the Last.",,frontier
<:Relic:859234169862225921> Dominus Orb,,,,,,,Prophecy of Kings,"Before you move units during a tactical action, you may purge this card to move and transport units that are in systems that contain 1 of your command tokens.","Goldos hoisted the ivory orb at the head of their army. At once, the weariness that filled the bodies and minds of each soldier vanished. They strode forth as if fresh from a week's rest.",,"ominous, dorb"
<:Relic:859234169862225921> Dynamis Core,,,,,,,Codex 2: Affinity,"While this card is in your play area, your commodity value is increased by 2.
Action: Gain trade goods equal to your commodity value, then purge this card.","Dart and Tai stood, mesmerized by the swirling mass. Neither had any idea what it was, but both were fairly sure they were about to retire.",Updated in Thunder's Edge,
<:Relic:859234169862225921> Heart of Ixth,,,,,,,Thunder's Edge,"After any die is rolled, you may exhaust this card to add or subtract 1 from its result.","""It should be impossible."" Feng glanced sidelong at his compatriot. The Thundarian merely stared ahead, as if he did not hear. Feng snorted. ""One day I mean to know the source of this so-called power of yours.""",,
<:Relic:859234169862225921> JR-XS455-O,,,,,,,Codex 2: Affinity,"**Action:** Exhaust this agent and choose a player; that player may spend 3 resources to place a structure on a planet they control. If they do not, they gain 1 trade good.",Lost Titan Prototype,,"junior, jr"
<:Relic:859234169862225921> Lightrail Ordnance,,,,,,,Thunder's Edge,Your space docks gain _Space Cannon 5 (x2)_. You may use your space dock's _Space Cannon_ against ships that are adjacent to their systems.,"A single sparkle was the only warning the Yin fleet had before a massive hole had been punched through the hull of the Van Hague.\nThen, searing light.",,space cannon
<:Relic:859234169862225921> Maw of Worlds,,,,,,,Prophecy of Kings,"At the start of the agenda phase, you may purge this card and exhaust all of your planets to gain any 1 technology.","No larger than a carrier, the spherical lattice held a captive singularity at its heart. As they dumped the planet's entire energy grid into its core, the black hole began to spin, the complex logic-circuitry along the lattice slowly coming to life.",,
<:Relic:859234169862225921> Metali Void Armaments,,,,,,,Thunder's Edge,"During the ""Anti-Fighter Barrage"" step of space combat, you may resolve _Anti-Fighter Barrage 6 (x3)_ against your opponent's units.","The Metali, Empyrean artificers of legend, were said to have created weapons that harnessed the power of space itself.",,"afb, antifighter, anti-fighter"
<:Relic:859234169862225921> Metali Void Shielding,,,,,,,Thunder's Edge,"Your units do not roll for gravity rifts, and you ignore the movement effects of other anomalies.|**Action:** Exhaust this card to explore a frontier token in a system that does not contain any other players' ships.","Capable of more than destruction, the Metali also wrapped their ships in nigh-indestructable plating unable to be replicated using today's methods.",,sustain
