Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Advanced Carrier II,<:SolFlag:799977825205616661> Sol Faction Tech - Unit Upgrade,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,"**Cost: 3, Combat: 9, Move: 2, Capacity: 8**|SUSTAIN DAMAGE",,,"adv carrier 2, adv carrier ii, advanced carrier 2"
Aerie Hololattice,<:ArgentFlag:799976364152193044> Argent Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127>,,,Prophecy of Kings,Other players cannot move ships through systems that contain your structures.|Each planet that contains 1 or more of your structures gains the PRODUCTION 1 ability as if it were a unit.,,,argent hololattice
Aetherstream,<:EmpyreanFlag:799976612216176661> Empyrean Faction Tech - <:TechPropulsion:786336467832012821>,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821>,,,Prophecy of Kings,"After you or one of your neighbors activates a system that is adjacent to an anomaly, you may apply +1 to the move value of all of that player's ships during this tactical action.",,,aether stream
Agency Supply Network,<:Keleres:976289632692092968> Keleres Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Codex 3: Vigil,"Whenever you resolve one of your PRODUCTION abilities, you may resolve an additional one of your PRODUCTION abilities in any system; the additional use does not trigger this ability.",,,keleres production
AI Development Algorithm,<:TechWarfare:786336653085376558>,,,,,,Prophecy of Kings,"When you research a unit upgrade technology, you may exhaust this card to ignore any 1 prerequisite.|When 1 or more of your units use PRODUCTION, you may exhaust this card to reduce the combined cost of the produced units by the number of unit upgrade technologies that you own.",,,"aida, ai dev"
Antimass Deflectors,<:TechPropulsion:786336467832012821>,,,,,,Twilight Imperium 4,"Your ships can move into and through asteroid fields.|When other players' units use SPACE CANNON against your units, apply -1 to the result of each die roll.",,,amd
Assault Cannon,<:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558><:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Twilight Imperium 4,"At the start of a space combat in a system that contains 3 or more of your non-fighter ships, your opponent must destroy 1 of their non-fighter ships.",,,ass cannon
Bioplasmosis,<:ArborecFlag:799976271564111933> Arborec Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Twilight Imperium 4,"At the end of the status phase, you may remove any number of infantry from planets you control and place them on 1 or more planets you control in the same or adjacent systems.",,,
Bio-Stims,<:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582>,,,Prophecy of Kings,You may exhaust this card at the end of your turn to ready 1 of your planets that has a technology specialty or 1 of your other technologies.,,,"biostims, bio stims"
Carrier II,Unit Upgrade,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,"**Cost: 3, Combat: 9, Move: 2, Capacity: 6**",,,carrier 2
Chaos Mapping,<:SaarFlag:799977657303302154> Saar Faction Tech - <:TechPropulsion:786336467832012821>,,,<:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,"Other players cannot activate asteroid fields that contain 1 or more of your ships.|At the start of your turn, you may produce 1 unit in a system that contains at least 1 of your units with PRODUCTION.",,,
Crimson Legionnaire II,<:MahactFlag:799977081857507338> Mahact Faction Tech - Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Prophecy of Kings,"**Cost: 1 (x2), Combat: 7**|After this unit is destroyed, gain 1 commodity or convert 1 of your commodities to a trade good. Then, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system.",,,"crimson legionnaire 2, cl 2, cl ii, cl2"
Cruiser II,Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechCybernetic:786336610014724127><:TechWarfare:786336653085376558>,,,Twilight Imperium 4,"**Cost: 2, Combat: 6, Move: 3, Capacity: 1**",,,cruiser 2
Dacxive Animators,<:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582>,,,Twilight Imperium 4,"After you win a ground combat, you may place 1 infantry from your reinforcements on that planet.",,,"daxcive animator, daxcive"
Dark Energy Tap,<:TechPropulsion:786336467832012821>,,,,,,Prophecy of Kings,"After you perform a tactical action in a system that contains a frontier token, if you have 1 or more ships in that system, explore that token.|Your ships can retreat into adjacent systems that do not contain other players' units, even if you do not have units or control planets in that system.",,,det
